School,google place_id,address,zip_code,state,phone
Montefiore Medical Center,ChIJ5yohHA3zwokR_MhoUulkBr4,"111 E 210th St, The Bronx, NY 10467, United States",10467,NY,(718) 920-4321
Medical University of South Carolina ,ChIJY9J2ej-w-IgRkTeIXqR7ydU,"6311 Garners Ferry Rd, Columbia, SC 29209, United States",29209,SC,(803) 216-3300
"California State University, Fresno",ChIJ2_9-TgJdlIARZiH9gCKzR4o,"5241 N Maple Ave, Fresno, CA 93740, United States",93740,CA,(559) 278-4240
Southern University and A&M College Baton Rouge,ChIJt12yNoufJoYRWKaZLod_BYI,"801 Harding Blvd, Baton Rouge, LA 70807, United States",70807,LA,(225) 771-4500
Seattle Children’s Hospital Research Center,ChIJi0nefUoVkFQRB9y3_rG43Wk,"1900 9th Ave, Seattle, WA 98101, United States",98101,WA,(206) 884-7300
Grupo QUAE Diagnostico Molecular,,,,,
California Academy of Sciences,ChIJIUT7rEOHhYARucp3wM-HhBs,"55 Music Concourse Dr, San Francisco, CA 94118, United States",94118,CA,(415) 379-8000
Synbio Technologies,ChIJbcHwOGTdw4kRb7fWArZOcEI,"4250 US-1 #3, Monmouth Junction, NJ 08852, United States",8852,NJ,(732) 230-3003
Florida Atlantic University,ChIJaar4MwMe2YgRavv1IqE-BFI,"777 Glades Rd, Boca Raton, FL 33431, United States",33431,FL,(561) 297-3000
Thomas Jefferson University,ChIJ6dbyjyjGxokRM2idj1ueUHk,"901 Walnut St, Philadelphia, PA 19107, United States",19107,PA,(215) 955-1533
Augusta University,ChIJdYZ_m8rN-YgRIscP0ngsxt4,"1120 15th St, Augusta, GA 30912, United States",30912,GA,(706) 721-0211
Indiana University,ChIJM62JZ8JmbIgRNtQVs4ugmTQ,"107 S Indiana Ave, Bloomington, IN 47405, United States",47405,IN,(812) 855-4848
Virginia Commonwealth University,ChIJ_3Le1yMRsYkRyBAUiaYRWBc,"907 Floyd Ave, Richmond, VA 23284, United States",23284,VA,(804) 828-0100
Beam Therapeautics,,,,,
S & W Seed Company ,ChIJI1pV8hLbmoARrhEpiwKAzEY,"3640 American River Dr #150, Sacramento, CA 95864, United States",95864,CA,(916) 485-4102
